Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
VPX filter,https://www.metso.com/news/2019/6/smart-and-future-ready--metso-introduces-its-new-approach-for-tailings-management-in-mining-with-the-launch-of-the-vpx-filter/,"Metso VPX™ filter, a new generation filtration solution for maximum water recovery and reuse. The Metso VPX™ ﬁlter can handle difficult-to-dewater tailings, because it has up to 25 bars operating pressure, the highest pressure in its category. This enables up to 90% water recovery. The Metso VPX™ is also equipped with a fully electromechanical drive system and no hydraulics, making it the safest solution on the market. With its modular design, the Metso VPX™ filter is scalable as well as easily transportable to the site in standard containers.",Unfunded,,Water Management,Emerging,2019,Finland,Mining,TRUE,Metso,Activity,,
MHC™ Series hydrocyclones,https://www.metso.com/products/classifiers/hydrocyclones/,"The MHC™ Series hydrocyclones provide accurate and efficient separation of particles by size (mass). Radical manifolds accurately distribute the feed and collect the underflow and overflow from multiple hydrocyclones operating in parallel. Wear-resistant linings are incorporated into the feed distributor producing minimal turbulence for the underflow and overflow launders. The unique conical geometry provides a smooth acceleration of particles to promote a sharp particle separation for a lower cost. Special attention is paid toward safe access for monitoring, sampling and maintaining the MHC™ Series hydrocyclones and manifold components.",Unfunded,,Water Management,Existing,2016,Finland,Mining,TRUE,Metso,Activity,,
Inclined plate settlers (IPS),https://www.metso.com/products/inclined-plate-settlers/,Metso inclined plate settlers (IPS) focuses on environmental impact and reducing that as much as possible. Avoiding water wastage is one of the key goals and being able to reduce tailings mine waste. With up to 50% less chemicals used in the Metso inclined plate settlers (IPS) will make water recirculation and recovery easier. A smaller foundation and floor space requirement converts into less construction to the environment needed when building the plant. The IPS is easily insultated against heat loss or toxic fume emissions reducing pollution levels. The increasing of compact sedimitation and dewatering allows for safer disposal and less tailings mine waste downstream. ,Unfunded,,Water Management,Existing,2016,Finland,Mining,TRUE,Metso,Activity,,
Multiflo® dewatering pumps,https://www.global.weir/brands/multiflo/,"Custom built to endure the toughest operating conditions, Multiflo® dewatering products can be used across mining, quarrying, industrial, water transfer and environmental water management applications. Combining ruggedness and flexibility, the range includes skid base and trailer to single, double and triple mounted pontoon pumps and heavy duty barges constructed in a range of materials including steel, MDPE and fiberglass. With diesel, electric or hydraulic driven options, we can create the perfect dewatering configuration to meet your needs.",Unfunded,,Water Management,Existing,,England,Mining,TRUE,Weir,Activity,,
Warman® Submersible Slurry Pumps,https://www.global.weir/brands/warman/warman-submersible-slurry-pump/,"Warman® submersible pumps are durable in tough conditions across both mine dewatering and slurry applications. Prevent overheating and be alerted to moisture intrusion thanks to the Warman® SHW submersible pump’s array of features, which can be tailored to your specific application for ultimate performance and peace of mind. For trouble free operation and maintenance, try the Warman® SJG range, robust yet reliable in arduous applications. ",Unfunded,,Water Management,Existing,,England,Mining,TRUE,Weir,Activity,,
Weir Edge™ EDU,https://www.global.weir/newsroom/news-articles/weir-launches-weir-edge-edu/,"A multi-layer learning platform that provides training documents, procedures, guides, tools and more — everything needed to educate field teams and turn them into high-performing maintenance professionals.",Unfunded,,Water Management,Existing,2019,,Mining,TRUE,Weir,Activity,,
Synertrex®,https://www.global.weir/newsroom/news-articles/weir-minerals-announces-its-innovative-iiot-platform-synertrex/,"Synertrex® is a cutting edge IIoT platform which harnesses the latest digital technology to transform productivity, foresee risk and enhance performance. Utilising cloud computing, it involves placing smart sensors on an array of Weir products which gather critical operating data for advanced analysis. The data is transformed into powerful insights which are relayed to the customer through a digital interface. It can identify problems before they occur, reducing downtime, and optimise equipment performance across an entire circuit. Remote management allows for simplified maintenance. Wear and tear can be easily monitored, and trouble spots detected before they escalate into major issues. Whether it’s a drive system, structural or lubrication issues, Synertrex® provides the tools to keep mining equipment at its most profitable.
",Unfunded,,Operations Intelligence,Emerging,2018,England,Mining,TRUE,Weir,Activity,,
Weir Water Recycling Plant,https://www.global.weir/weir-edge-service-advantage/,"Our SPM® RFID/AMP system gives you full visibility into your inventory to track equipment movements. You get full traceability of the certification process based on your established standards, including maintenance records to ensure compliance, failure modes, inspection records and additional reports.",Unfunded,,Predictive Maintenance,Emerging,2019,England,Mining,TRUE,Weir,Activity,,
Outotec Process Water Recycling Plant,www.outotec.com/products/industrial-water-treatment/process-water-recycling-plant/,"The Outotec Process Water Recycling Plant is a fully automated standalone unit that enables recycling of process water by treating the water in a cost-efficient manner. The plant is specifically designed for concentrator plants, which dewater tailings and recycle the water back to the process. It enables undisturbed process performance by treating recycled water and removing accumulated substances to achieve the desired level of quality for the various duty points of the concentration process.",Unfunded,,Water Management,Emerging,2018,Finland,Mining,TRUE,Outotec,Activity,,
Dry Tailings Plant,www.outotec.com/products/materials-management/dry-tailings-plant/,"The Outotec Dry Tailings Plant solution is a fully integrated design that comprises thickening, filtration, and dry material handling for the dry stacking of tailings, including all necessary ancillary equipment and systems. This solution is particularly suited to areas where water consumption is a sensitive issue, or where there are strict requirements in terms of the safe operation, management, and eventual closure and rehabilitation of the TSF. Dry stack facilities are also resistant to high levels of seismic activity.",Unfunded,,Water Management,Emerging,2018,Finland,Mining,TRUE,Outotec,Activity,,
Thickened Tailings Plant,www.outotec.com/products/materials-management/paste-tailings-plant/,"The Outotec Thickened Tailings Plant is designed for the management and storage of tailings from concentrators. Tailings thickening helps to reduce environmental risks and results in less seepage from the TSF. Utilizing Outotec's advanced control systems and thickener optimization technology, the Outotec Thickened Tailings Plant offers stable process performance and consistent underflow density to ensure safe and cost-efficient TSF operation. It also enables the efficient recovery of process water, saves energy by reducing the need for slurry and water pumping, and simplifies mine closure for many applications. In addition to thickeners, the delivery scope for the Outotec Thickened Tailings Plant includes the feed system, overflow and underflow pumping and piping systems, gland water system, flocculant feed system, as well as instrumentation and control systems.",Unfunded,,Water Management,Emerging,2018,Finland,Mining,TRUE,Outotec,Activity,,
Mobilaris Hybrid Positioning™,https://www.epiroc.com/en-uk/customer-stories/2019/a-disruptive-innovation-that-enables-a-paradigm-shift-in-underground-positioning,"This unique innovation is based upon cutting edge sensor fusion, artificial intelligence, advanced mathematics and allows for self-sustained positioning of a vehicle with 5-10 meters accuracy without any dedicated infrastructure for positioning. It does not require any specialized or costly hardware. Instead, it is designed to run on a standard Android tablet. Our own experience together with testimonials from customers makes us totally convinced that this new disruptive innovation will dramatically change underground mining. Using the Mobilaris Hybrid Positioning™ technology, the new Mobilaris Onboard™ tablet acts just like a GPS enabled car navigator underground – now anyone can navigate to a location or to a moving asset without any specific knowledge about the mine.",Unfunded,,Operations Intelligence,Emerging,2019,USA,Mining,TRUE,Epiroc,Activity,,
Epiroc and 5G,https://www.epiroc.com/en-uk/customer-stories/2019/5g-moves-mining-forward,"A 5G network in mining operations provides:
o   higher capacity, speed and reliability
o   the ability to control devices with extremely short response times
o   the ability to connect many different devices and services simultaneously

Ericsson has set up a local network with 5G technology in Epiroc's test mine in Kvarntorp, Sweden. It is used for telematics as well as remote operations. The test mine is one of the innovation arenas for Epiroc’s development of automation, information management and interoperability solutions. The new type of network was installed already in 2016 and is continuously upgraded to keep pushing the development of tomorrows mining solution forward.",Unfunded,,Operations Intelligence,Distant,2019,Sweden,Mining,TRUE,Epiroc,Activity,,
Normative,https://normative.io/,"A startup that lets companies automate their carbon reporting — and in turn help them decrease their environmental footprint. Billed as wanting to become the “QuickBook of carbon reporting,” Normative is a SaaS that plugs into various data — both a company’s internal systems and external databases on the environmental impact of goods and services. It then automatically calculates carbon usage and emissions for reporting purposes, which is traditionally a time-consuming and costly process. Existing clients include Summa Equity, Bonava and Ikano.",Seed,"2,100,000",Carbon Capture,Distant,2014,Sweden,Alternative,TRUE,,,,
Elode USA,https://www.elodeusa.com/,"ELODE has created the No Heat Sludge Dryer, an Electro-Osmosis Dehydrator (ELODE). Reduce Sludge weight by half in just 3 minutes. Place your already dewatered sludge into our super compact machine and in 3 minutes it will be dehydrated to under half its volume and weight. 

ELODE is 2nd stage dewatering machine made to further reduce water from sludge cake that has been dehydrated by other mechanical dewatering machines such as screw press, belt press, or centrifuge type of presses.  ELODE takes the sludge cake in between two electrically charged surfaces where it instantly starts to pull moisture away from the sludge, resulting in a moisture level far below any mechanical means.",,,Water Management,Distant,,USA,Mining,FALSE,,,,
Chrysos,http://chrysos.com.au/,"Chrysos offers Real Time Assaying (ore grade testing) using PhotonAssay™ technology. The technology provides rapid, accurate, non-destructive and fully automated analysis of ore grade. It takes a few minutes from sample presentation to result, at a rate of up to 80 samples per hour (50,000 samples per month). It is sensitive, has 2-3x improved accuracy on fire assays, requires minimal sample preparation (crushed rock) and no toxic or caustic reagents are required. It can be applied to a range of other minerals including silver and copper.

The Chrysos PhotonAssay technology uses high intensity X-rays, with its energy some 200 times that of X-ray fluorescence (XRF) based units. The technology has been developed over the past 15 years by CSIRO. RFC Ambrian has acted as the business incubator and provided advisory and fundraising assistance to Chrysos since its inception in 2016.",Undisclosed,,Operations Intelligence,Distant,2016,Pakistan,Mining,TRUE,,,,
NextOre,https://nextore.com.au/,"NextOre is a joint venture between CSIRO, RFC Ambrian, and Advisian Digital formed for the purpose of deploying innovative technologies into the mining and minerals processing sector. NextOre is proud to present its Magnetic Resonance (MR) ore sorting technology, an unparalleled leader in mineral sensing technology. Fitting over industry standard conveyor belts, the MR sensor provides near-instantaneous whole-of-ore grade estimates.  These highly accurate, real-time measurements allow operations to divert waste material, resulting in higher grade and lower tonnage mill feed. NextOre’s industry-leading technology provides measurable efficiency improvements allowing mining companies to take a leap forward in environmental sustainability, site consumption, and unit costs.",Seed,"2,400,000",Operations Intelligence,Distant,2017,Australia,Mining,TRUE,,,,
Spectral Industries,https://www.spectralindustries.com/,"Spectral Industries specialisese in Laser-induced Breakdown Spectroscopy (LIBS): An emission spectroscopy technique that provides an elemental fingerprint of a material sample. Real-time monitoring of any type of material is possible with the SPECTRAL Conveyor Belt LIBS sensor. SPECTRAL’s LIBS sensor can be positioned over any conveyor belt. The sensor measures the full atomic chemical composition of the material passing by on the belt. This setup is ideal for mining applications like monitoring the ore grade in mined material in order to separate ore from waste material. Also, the SPECTRAL Conveyer Belt LIBS sensor can be applied for recycling applications to identify materials one wants to sort out.

Benefits of the SPECTRAL Conveyor Belt LIBS sensor: A measurement takes << 1 ms, allowing for measurement rates up to 1000 Hz;
The sensor works with any belt speed; Flexible sensor configuration allows for tunable working distance between sensor and belt; Captures all elements of the periodic table in one measurement; Detection limits below 1 permille (1000 ppm) are possible.",Seed,"80,000",Operations Intelligence,Distant,2015,Netherlands,Mining,TRUE,,,,
Cassantec (now part of ABB's Ellipse),https://new.abb.com/enterprise-software/asset-optimization-management/ellipse-apm,"Cassantec has developed a prognostic solution that delivers true foresight with an easy-to-use dashboard. Unlike other predictive solutions for industrial assets, Cassantec renders explicit prognoses. Thereby, Cassantec answers the question when impending malfunctions will occur, facilitating optimal maintenance and operations schedules as well as precise remaining lifetime estimations. As a result, customers benefit from reduced cost, via enhanced maintenance planning, and increased revenues, due to higher plant reliability and availability. Cassentec’s solution is now part of ABB’s industry-leading Ellipse® Asset Performance Management (APM) solution, which is a part of the company’s digital enterprise portfolio.",Acquired,,Predictive Maintenance,Emerging,2007,Switzerland,Both,TRUE,,,,
SpaceTime Insight (now part of Nokia),https://spacetimeinsight.com/,"SpaceTime Insight provides machine learning-powered analytics and IoT applications for some of the world's largest transportation, energy and utilities organizations, including Entergy, FedEx, NextEra Energy, Singapore Power and Union Pacific Railroad. Its machine learning models and other advanced analytics, designed specifically for asset-intensive industries, predict asset health with a high degree of accuracy and optimize related operations. As a result, SpaceTime Insight's applications help customers reduce cost and risk, increase operational efficiencies, reduce service outages and more.

The acquisition supports Nokia's software strategy by bringing SpaceTime Insight's sales expertise and proven track record in IoT application development, machine learning and data science to the Nokia Software IoT product unit. It will strengthen Nokia's IoT software portfolio and IoT analytics capabilities, and accelerate the development of Nokia's IoT offerings to deliver high-value IoT applications and services to new and existing customers.",Acquired,,Predictive Maintenance,Emerging,2007,USA,Alternative,TRUE,,,,
Senseye,https://www.senseye.io/,"Senseye is the leading cloud-based software for Predictive Maintenance. It helps manufacturers avoid downtime and save money by automatically forecasting machine failure without the need for expert manual analysis. Its intelligent machine-learning algorithms allow it to be used on any machine from any manufacturer, taking information from existing Industrial IoT sensors and platforms to automatically diagnose failures and provide the remaining useful life of machinery.",Series A,"4,800,000",Predictive Maintenance,Emerging,2014,England,Alternative,TRUE,,,,
Greenwave systems,http://www.greenwavesystems.com/,"Traditional industrial asset optimization is changing, giving way to the Industrial Internet of Things (IIoT). Leading the charge is Greenwave's AXON Predict™ - a real-time, edge analytics solution that embeds directly on devices of all sizes and types, including individual sensors, heavy machinery, and industrial gateways. Many so-called edge analytics solutions don’t truly operate at the edge; instead, they upload terabytes of raw data to your enterprise cloud. This slows down analysis, requires huge investments in infrastructure and security, and obscures the important data. AXON Predict embeds directly on the device and reacts to the constantly varying performance metrics that are most important, even if measurements happen multiple times a second. From there it will learn from and improve its advanced analytic models to deliver better, more accurate insights.",Series C,"101,300,000",Predictive Maintenance,Emerging,2008,USA,Alternative,TRUE,,,,
Sentient Science,http://sentientscience.com/,"Sentient Science, a trusted third party, believes that what is best for the rotating equipment Operator is best for the OEM and Supplier. The new business model, Buy on Life, provides the operator improved outcomes across the fleet, asset and components equal to 13 percent of revenues or 1 cent per kWh. We called it DigitalClone Live, which is a Software as a Service (SaaS). We use “small data” from materials science rather than “big data” from sensors, to predict remaining Life and Life Extension of systems like drivetrains, powertrains and components, including blades, bearings and oil. Seven applications targeted from the CEO, CFO and CRO to the asset and maintenance teams are available from three levels of future Life visibility, 0-3 months, 3 months to 5 years, and 5 years to 30 years. We monitor 24x7x365 by executing “always on” computational testing, simulating thousands of test points to accurately predict the life extension of systems and components.",Series B,"41,200,000",Predictive Maintenance,Emerging,2001,USA,Alternative,TRUE,,,,
Infoworks,https://www.infoworks.io/,"Infoworks' Enterprise Data Operations and Orchestration (EDO2) system was built to automate and accelerate development, deployment and orchestration of analytics projects at scale, in cloud, hybrid, multi-cloud, and premise-based environments. Through deep automation and a code-free environment, Infoworks empowers organizations to rapidly consolidate and organize enterprise data, create analytics pipelines and deploy projects to production within days – dramatically increasing business agility and accelerating time-to-value. Infoworks counts some of the world’s largest financial, retail, technology, healthcare, oil & gas, and manufacturing companies as its customers.",Series C,"45,000,000",Operations Intelligence,Emerging,2014,USA,Alternative,TRUE,,,,
Dataiku,http://www.dataiku.com/,"Dataiku develops Data Science Studio, the tool that lets data scientists and analysts do machine learning on any (dirty) data. Dataiku is the centralized data platform that moves businesses along their data journey from analytics at scale to enterprise AI. By providing a common ground for data experts and explorers, a repository of best practices, shortcuts to machine learning and AI deployment/management, and a centralized, controlled environment, Dataiku is the catalyst for data-powered companies. 

Customers building predictive maintenance solutions with Dataiku benefit from: The ability to centrally and seamlessly connect to data, wherever it’s stored;
A simple and fast interface for ETL, including interactive data cleaning and integrated advanced processors; AutoML features, including the ability to compare dozens of algorithms directly from the Dataiku interface ( both for supervised and unsupervised tasks); One-click model deployment on the cloud with Kubernetes; Robust model monitoring features to prevent model drift.

Customers like Unilever, GE, and FOX News Group use Dataiku to ensure they are moving quickly and growing exponentially along with the amount of data they’re collecting. By removing roadblocks, Dataiku ensures more opportunity for business-impacting models and creative solutions, allowing teams to work faster and smarter.",Series D,"146,800,000",Predictive Maintenance,Emerging,2013,USA,Alternative,TRUE,,,,
Predikto (now part of United Technologies),https://www.utc.com/en/news/news-center/2018/08/21/united-technologies-acquires-predikto-inc,"Predikto has developed a proven cloud-based predictive health maintenance solution, which enables customers to forecast and improve asset reliability with greater certainty. Its software platform automates up to 80% of the process to create classification machine learning algorithms to predict failures in industrial equipment. Big expensive transportation assets or highly distributed equipment is our sweet spot due to the high cost of downtime. ",Acquired,"7,600,000",Predictive Maintenance,Emerging,2013,USA,Alternative,TRUE,,,,
Presenso (now part of SKF),http://www.presenso.com/,"Presenso provides an AI Driven Industrial Intelligence solution. The Presenso solution uses advanced Artificial Intelligence to provide real-time asset failure predictions based on monitoring sensors’ signal data in the cloud. With its proprietary adaptive algorithms, Presenso can analyze sensor behavior, automatically learn how machines behave and use this learning to predict machine failures before they occur.",Acquired,"2,000,000",Predictive Maintenance,Emerging,2015,Israel,Alternative,TRUE,,,,
Infinite Uptime,http://www.infinite-uptime.com/,"Infinite Uptime provides an IoT platform that automates predictive maintenance for industrial machines, with an initial focus on the manufacturing industry. Infinite Uptime provides an all in one industrial solution with hardware, cloud analytics and control software to monitor equipment, diagnose problems and drive smart decision making.",Series A,"6,100,000",Predictive Maintenance,Emerging,2015,India,Alternative,TRUE,,,,
Cache,https://www.cach-inc.com/,"Structural health monitoring. More efficient inspection and monitoring of bridges and structures. CACH has developed a remote, cloud based analytics solution for structural health that is low coast and easy to install. It uses wireless strain gauges, load cells and displacement tranducers. ",Seed,,Predictive Maintenance,Emerging,2016,Japan,Alternative,TRUE,,,,
Zasti,http://www.zasti.ai/,"ZASTI's AI platform provides a scientific and proven way of predicting component or mechanical failure using a transparent SaaS model.ZASTI© is an Artificial Intelligence (AI) technology platform that helps companies and their clients by predicting risks and improving business efficiency. The technology platform is built using proprietary Deep Learning algorithms to provide predictive and diagnostic solutions. ZASTI analyses existing data, identifies anomalies and recurring usage patterns, and then delivers highly accurate predictions and diagnoses through specific vertical sector applications. For industrial users, ZASTI can cut down downtime by 50-70%, increase business efficiency by 20-30% or save 30% of OPEX.",Seed,,Predictive Maintenance,Emerging,2017,USA,Alternative,TRUE,,,,
Flexciton,http://www.flexciton.com/,"Flexciton is building powerful cloud-based production planning and scheduling technology for the manufacturing industry using A.I. Combined mathematical optimisation (MIP) and A.I. technology, plus a unique decomposition method allows the most complex, so far unsolvable scheduling questions to be solved. Their solution is transforming the way the largest companies in the world make their products, and they were recently voted one of the world's most disruptive companies on the 2018 Disrupt 100 list: https://bit.ly/2L5y3q6",Seed,"4,300,000",Operations Intelligence,Emerging,2016,England,Alternative,TRUE,,,,
Beet,http://www.beet.com/,"BEET Analytics Technology is a Smart Manufacturing solution provider founded in June, 2011 and provides Process Visibility System (PVS) built upon ENVISION, the software created by BEET. PVS is a new way to manage the manufacturing shop floor. It helps to transform the shop floor culture from reactive to proactive and enables predictive maintenance. Envision’s process visualization system is the only solution on the market that provides real-time degeneration data, allowing your team to see and address problems BEFORE a fault occurs for a significant reduction in unplanned downtime. Envision also makes it easy to correlate data and identify patterns over longer periods of time, so you can predict when recurring maintenance will be necessary, and replace your default maintenance schedule with one based on real, reliable data.",Seed,"263,000",Predictive Maintenance,Emerging,2011,China,Alternative,TRUE,,,,
Mnubo (Now part of Aspen Technology),https://mnubo.com/industries/industrial-equipment/,"Mnubo uses sensor and events data from field equipment to identify underperforming assets, empower service teams with condition-based maintenance schedules, reduce the cost of maintenance and enable data-driven aftermarket services.

Our intuitive modeling and management capabilities allow you to analyze and process time series data generated by industrial equipment to reduce downtime and improve efficiency.",Acquired,"22,500,000",Predictive Maintenance,Existing,2012,Canada,Alternative,TRUE,,,,
Canvass Analytics,https://www.canvass.io/,"Canvass Analytics is an AI-based predictive analytics platform designed for the Industrial Internet of Things. With Canvass Analytics, maintenance teams can reduce maintenance costs, prevent breakdowns and increase the useful life of assets by optimizing assets performance. Users can derive insights from across operations by automatically collecting data from diverse data sources and identifying patterns and correlations hidden deep within big data. Shift from historical reports that tell why something happened to predictive insights that prevent, optimize and foresee outcomes. Leverage predictive insights from a single process to across multiple plants using a central, scalable, flexible platform.",Seed,"6,500,000",Predictive Maintenance,Distant,2016,Canada,Alternative,TRUE,,,,
Alluvium (Now a part of Augury),https://www.augury.com/solutions/,"Machine Health is the Key to Global Productivity. Augury combines the foundations of asset performance management (APM) and predictive maintenance (PdM) with the most recent advances in sensor technology and artificial intelligence to provide industry leaders with unprecedented insight into their operations. Our Machine Health solution listens to machines, analyzes data in real-time, and provides accurate and actionable machine health insights. Real-Time Diagnostics for Entire Facilities - Augury monitors and protects production line assets and balance of plant equipment. We arm engineering, maintenance, and reliability professionals with continuous insights to improve asset performance across their facilities.",Acquired,"2,500,000",Predictive Maintenance,Distant,2015,USA,Alternative,TRUE,,,,
Interlate,https://www.interlate.com/,"Interlate develops data analytics solutions for mining and mineral processing industries. The products developed by the company allows the user to collect and analyse the data from various sources to get real-time insights about the production process. The company has developed 4 solutions namely: Assessment analyses various factors to indentify the areas of improvement in the production process, Sentinel analyses the time sensitive data to give insights about the production process in real time and Guardian tracks the progress of targeted improvements. The company also offers an Alliance service that allows the users to accelerate its project development by taking the help from technical domain experts and technology partners of the company",Undisclosed,Undisclosed,Operations Intelligence,Emerging,2016,Australia,Mining,TRUE,Siemens,Activity,,
International Wastewater Systems,https://www.sewageheatrecovery.com/,International Wastewater Systems focuses on providing systems and technology for wastewater heat recovery.The company technology removes solids from the wastewater allowing the water to move freely through the pump and the exchanger.,Public,"140,000",Water Management,Emerging,2011,Canada,Alternate,TRUE,,,,
Emefcy,http://www.emefcy.com/,Emefcy develops advanced energy efficient wastewater treatment technologies for municipal and industrial plants. ,Public,"30,000,000",Water Management,Emerging,2007,Israel,Alternate,TRUE,,,,
Flo Technologies,https://meetflo.com/,"Flo Technologies offer Flo, a connected water-monitoring solution for smart home applications. It consists of a Wi-Fi connected device, to be installed on the main water supply line, that continually monitors the flow, pressure, and temperature of water in the home. Uses machine learning to proactively detect leaks and automatically shuts off the supply in response to a pipe burst, flooding or other irregularities. Also learns the home's water usage pattern to conserve water. Claims to be sensitive enough to detect micro-leaks as small as a single drop of water a minute. It also runs tests, leveraging proprietary technology and automatically run at least once per day to ensure the proper functioning of the plumbing system. ",Series B,"39,300,000",Water Management,Emerging,2015,USA,Alternate,TRUE,,,,
TaKaDu,https://www.takadu.com/,"TaKaDu provides a cloud-based SaaS solution for water and gas network monitoring. It detects, alerts and provides real-time insight on leaks, bursts, and net losses. ",Undisclosed,"6,000,000",Water Management,Emerging,2009,Israel,Alternate,TRUE,,,,
Nexus eWater,http://nexus-ewater.webflow.io/,"Nexus eWater develops and commercializes integrated water and heat recyclers to developers, public utilities, and homeowners. Its products are used for onsite domestic water/grey water recycling and wastewater heat recovery applications. The patented solution, the eWater Recycler, recycles 67% of indoor water, reduces energy related to water heating by 80%, and slashes sewer flow by up to 70% as per the company. ",Series A,"8,830,000",Water Management,Emerging,2009,USA,Alternate,TRUE,,,,
Hero Labs,https://www.hero-labs.com/,"Hero Labs has developed Sonic which is an Internet of Things enabled solution that detects, prevents, and stops water leaks in homes and businesses. ",Seed,"3,140,000",Water Management,Emerging,2018,UK,Alternate,TRUE,,,,
Island Water Technologies,https://www.islandwatertech.com/,"IWT specializes in being able to provide a multidisciplinary team that can develop next-generation solutions for water technology development. Complex engineering solutions can be developed with a full suite of Microbiology, Biochemistry and Environmental Engineering, Electronics, Power Electronics, Electrical Engineering, Mechanical Engineering and Civil Engineering.",Undisclosed,"1,600,000",Water Management,Emerging,2013,Canada,Alternate,TRUE,,,,
Elentec,https://www.elentec.co.uk/,"Elentec is an electrochemical based technology solutions provider for water treatment. Uses electro-coagulation as an alternative to chemical treatment. Claims to remove heavy metals, phosphate/phosphorus, arsenic, solids, and others. Used in industry, environmental management, resource recovery, and others.",Unfunded,,Water Management,Emerging,2012,UK,Alternate,TRUE,,,,
WaterGen,https://www.watergen.com/,"Watergen has developed a patented technology to produce drinking water from atmospheric air. The technology draws air into an atmospheric water generator(AWG) unit, filters the air & is subjected to heat exchange and cooling process in which temperature of the air is lowered to dew-point by condensing the water molecules. The water is then subjected to a multi-stage filtration process to provide purified water. Claims that the system uses 300 Watt-hour of power to produce a liter of water & can be integrated with solar systems. Offers plug & play atmospheric water generators which can produce 27-5k liters of water per day. Can be installed in homes, offices, remote areas & also provides emergency response vehicles-enabled atmospheric water generators. l",Unfunded,,Water Management,Emerging,2009,Israel,Alternate,TRUE,,,,
NuLeaf Tech,https://www.nuleaftech.com/,NuLeaf treat water contaminated by biological waste on site by mimicking ecosystem processes. Their PMFC uses wetland microbes to clean water with simple biological waste and energy is created through the microbe’s digestion of the waste.,Seed,"100,000",Water Management,Emerging,2015,USA,Alternate,TRUE,,,,
RWEDI Solutions,http://rwedisolutionsinc.com/,"RWEDI Solutions focuses on developing technology solutions for water treatment. The company offers a water pretreatment system for treatment of cooling tower water in order to manage scaling, corrosion, and biological fouling. ",Unfunded,,Water Management,Emerging,2017,USA,Alternate,TRUE,,,,
Foundry Spatial,https://www.foundryspatial.com/,"Foundry helps industry explorers, resource managers, researchers and community planners make sound decisions about our water, land and air. We also offer more traditional analytical and reporting services to suit any resource-intensive project.",Undisclosed,,Water Management,Emerging,2009,Canada,Alternate,TRUE,,,,
WINGS ICT Solutions,https://wings-ict-solutions.eu/,"WINGS ICT Solutions focuses on the development of software for the water, energy, smart cities, food safety, health, transportation and finance sectors through advanced wireless, cloud/IoT, big data and security technologies.",Undisclosed,,Water Management,Emerging,2012,Greece,Alternate,TRUE,,,,
C-Crete,https://ccretetech.com/,"C-Crete is a startup that has developed a patented technology that is based on creating size- and shape-controlled nanoparticles. They have developed a proprietary formula to produce a ceramic-based product (cement) that is lightweight, eco-friendly and economical. ",Undisclosed,,New Cement,Emerging,2010,USA,Cement,TRUE,,,,
Infinimesh,https://www.infinitedevices.io/infinimesh-platform.html,infinimesh provides a cloud-based IoT platform for asset monitoring. It leverages the Kubernetes engine and uses artificial intelligence technologies for providing device management solutions. Enables users to visualize clusters of devices within an organization and set permissions up to device level and supports real-time & two-way correspondence for every device in the fleet.,Unfunded,,Predictive Maintenance,Emerging,2018,USA,Alternate,TRUE,,,,
CorrosionRADAR,https://www.corrosionradar.com/,"The sensor data can remotely detect and predict corrosion development using advanced models and analytics. This can be incorporated into the existing asset management system of the asset owner. Data is used to greatly enhance an existing Risk Based Inspection (RBI) programme, and enabling the move to predictive corrosion management.",Seed,"1,760,000",Predictive Maintenance,Emerging,2017,USA,Alternate,TRUE,,,,
JUCONN,https://www.juconn.com/,"Juconn offers an IoT platform providing asset tracking and predictive maintenance solutions. Provides solution for real-time monitoring of the location & environmental condition, and for controlling the visibility to customers. Allows users to access & visualize the sensor data and set threshold alerts commands. Also provides machine learning solutions to predict the condition & functionality of the assets and replace the failing parts. Has use cases in energy, smart building, healthcare, smart cities, agriculture, and other sectors. Clients include Luwa, Amneal, Kuppers and more. The company also develops IoT projects for enterprises.",Unfunded,,Predictive Maintenance,Emerging,2017,Germany,Alternate,TRUE,,,,
Predictive-Sigma,https://www.predictive-sigma.com/,"Predictive-sigma is a predictive maintenance platform based on electric analysis. It helps industrial companies to reduce breakdown, perform smart maintenance and ensure performance. ",Undisclosed,,Predictive Maintenance,Emerging,2017,Spain,Alternate,TRUE,,,,
Samsara,https://www.samsara.com/,"Samsara has developed integrated software-centric IoT gateways that include wireless connectivity, and cloud-hosted software to record and analyze data from sensors in the supply chain, industrial sensing, fleet telematics etc. Post Series A round Marc Andreessen has joined its board.",Series E,"530,000,000",Operations Intelligence,Emerging,2015,USA,Alternate,TRUE,,,,
Aquant,https://www.aquant.io/,"Aquant provides machine learning enabled predictive analytics and recommendation solutions for manufacturing industries. Its prediction engine monitors equipment, aggregate telematics signals and contextual data to identify potential upcoming failures in real-time. Its solutions to increase overall uptime of operation include automated troubleshooting process recommendation application and stock management tool. This has use cases in industries such as manufacturing, medical equipment, Heating ventilation and air conditioning (HVAC) provider, communication equipment provider, and more.",Series B,"42,600,000",Predictive Maintenance,Emerging,2016,USA,Alternate,TRUE,,,,
